CustomerID,Cluster
C0001,2
C0002,2
C0003,1
C0004,3
C0005,2
C0006,1
C0007,2
C0008,0
C0009,4
C0010,2
C0011,2
C0012,0
C0013,0
C0014,4
C0015,4
C0016,1
C0017,0
C0018,1
C0019,2
C0020,4
C0021,3
C0022,1
C0023,3
C0024,1
C0025,2
C0026,1
C0027,2
C0028,0
C0029,2
C0030,1
C0031,1
C0032,4
C0033,4
C0034,1
C0035,1
C0036,4
C0037,2
C0038,2
C0039,1
C0040,2
C0041,0
C0042,2
C0043,4
C0044,1
C0045,3
C0046,0
C0047,1
C0048,1
C0049,1
C0050,1
C0051,0
C0052,1
C0053,3
C0054,0
C0055,1
C0056,1
C0057,1
C0058,4
C0059,0
C0060,4
C0061,2
C0062,2
C0063,4
C0064,1
C0065,0
C0066,1
C0067,1
C0068,3
C0069,1
C0070,2
C0071,2
C0072,1
C0073,2
C0074,2
C0075,0
C0076,1
C0077,4
C0078,4
C0079,2
C0080,4
C0081,1
C0082,3
C0083,2
C0084,0
C0085,1
C0086,2
C0087,0
C0088,2
C0089,4
C0090,1
C0091,2
C0092,1
C0093,0
C0094,4
C0095,4
C0096,3
C0097,4
C0098,1
C0099,3
C0100,3
C0101,0
C0102,3
C0103,2
C0104,3
C0105,1
C0106,2
C0107,2
C0108,3
C0109,3
C0110,4
C0111,1
C0112,2
C0113,3
C0114,1
C0115,1
C0116,1
C0117,1
C0118,2
C0119,4
C0120,2
C0121,4
C0122,3
C0123,4
C0124,1
C0125,2
C0126,1
C0127,1
C0128,4
C0129,4
C0130,4
C0131,2
C0132,2
C0133,2
C0134,2
C0135,2
C0136,1
C0137,1
C0138,1
C0139,3
C0140,4
C0141,0
C0142,1
C0143,0
C0144,4
C0145,3
C0146,1
C0147,3
C0148,3
C0149,2
C0150,4
C0151,4
C0152,2
C0153,3
C0154,1
C0155,3
C0156,0
C0157,1
C0158,2
C0159,2
C0160,2
C0161,3
C0162,3
C0163,3
C0164,2
C0165,3
C0166,2
C0167,4
C0168,2
C0169,3
C0170,1
C0171,3
C0172,1
C0173,3
C0174,2
C0175,3
C0176,2
C0177,1
C0178,1
C0179,2
C0180,4
C0181,1
C0182,1
C0183,1
C0184,3
C0185,1
C0186,4
C0187,1
C0188,3
C0189,1
C0190,1
C0191,1
C0192,2
C0193,2
C0194,1
C0195,1
C0196,2
C0197,2
C0198,2
C0199,2
C0200,1
